cinema_treasures_id,cinema_treasures_url,name,borough,street_address,city,state,zip,full_address,latitude,longitude,status,showing_movies,status_facts,status_raw,screens,seats,year_opened_guess,year_closed_guess,borough_source,data_quality_flags,fetch_error
1297,https://cinematreasures.org/theaters/1297,116th Street Theatre,Manhattan,132 W. 116th Street,New York,NY,10026,"132 W. 116th Street, New York, NY 10026",40.8026401,-73.9514698,Closed,,Closed,closed,1,1809,,1963,detail_city,no_year_opened,
22028,https://cinematreasures.org/theaters/22028,2nd Avenue Theatre,Manhattan,35 - 37 2nd Avenue,New York,NY,10003,"35 - 37 2nd Avenue, New York, NY 10003",40.724885,-73.990543,Demolished,,Closed;Demolished,closed,1,1874,1911,,detail_city,no_year_closed,
10459,https://cinematreasures.org/theaters/10459,34th Street East Theatre,Manhattan,241 E. 34th Street,New York,NY,10016,"241 E. 34th Street, New York, NY 10016",40.7449794,-73.9763445,Demolished,,Closed;Demolished,closed,1,359,1963,1997,detail_city,,
17385,https://cinematreasures.org/theaters/17385,42nd St. Cinema,Manhattan,422 W. 42nd Street,New York,NY,10036,"422 W. 42nd Street, New York, NY 10036",40.7588656,-73.9937269,Demolished,,Closed;Demolished,closed,1,,2002,,detail_city,no_seats;no_year_closed,
12564,https://cinematreasures.org/theaters/12564,44th Street Theatre,Manhattan,216 W. 44th Street,New York,NY,10036,"216 W. 44th Street, New York, NY 10036",40.7578767,-73.9873373,Demolished,,Closed;Demolished,closed,1,1468,,1945,detail_city,no_year_opened,
56992,https://cinematreasures.org/theaters/56992,48th Street Theatre,Manhattan,157 W. 48th Street,New York,NY,10036,"157 W. 48th Street, New York, NY 10036",40.7595748,-73.9835643,Demolished,,Closed;Demolished,closed,1,969,1912,,detail_city,no_year_closed,
63525,https://cinematreasures.org/theaters/63525,49th St. Playhouse,Manhattan,W. 49th Street and Broadway,New York,NY,10019,"W. 49th Street and Broadway, New York, NY 10019",,,Closed,,Closed,,1,,1970,,detail_city,no_coords;no_seats;no_year_closed,
6376,https://cinematreasures.org/theaters/6376,55th Street Playhouse,Manhattan,154 W. 55th Street,New York,NY,10019,"154 W. 55th Street, New York, NY 10019",40.7636274,-73.980294,Closed,,Closed,closed,1,253,1927,1969,detail_city,,
6379,https://cinematreasures.org/theaters/6379,5th Avenue Cinema,Manhattan,66 5th Avenue,New York,NY,10011,"66 5th Avenue, New York, NY 10011",40.7352945,-73.9944323,Closed,,Closed,closed,1,273,,1974,detail_city,no_year_opened,
1201,https://cinematreasures.org/theaters/1201,68th Street Playhouse,Manhattan,1164 3rd Avenue,New York,NY,10065,"1164 3rd Avenue, New York, NY 10065",40.7670911,-73.9627918,Closed,,Closed,closed,1,389,,1997,detail_city,no_year_opened,
7310,https://cinematreasures.org/theaters/7310,72nd Street Playhouse,Manhattan,346 E. 72nd Street,New York,NY,10021,"346 E. 72nd Street, New York, NY 10021",40.7681798,-73.9569298,Demolished,,Closed;Demolished,closed,1,599,1914,1984,detail_city,,
4697,https://cinematreasures.org/theaters/4697,777 Theatre,Manhattan,777 8th Avenue,New York,NY,10036,"777 8th Avenue, New York, NY 10036",40.760813,-73.987319,Closed,,Closed,closed,2,250,,1994,detail_city,no_year_opened,
14720,https://cinematreasures.org/theaters/14720,77th Street Theatre,Manhattan,2184 Broadway,New York,NY,10024,"2184 Broadway, New York, NY 10024",40.7826525,-73.980585,Closed,,Closed,closed,1,600,,,detail_city,no_year_opened;no_year_closed,
14085,https://cinematreasures.org/theaters/14085,86th Street Grande Theatre,Manhattan,160 E. 86th Street,New York,NY,10128,"160 E. 86th Street, New York, NY 10128",40.7791688,-73.9548733,Demolished,,Closed;Demolished,closed,1,525,,1999,detail_city,no_year_opened,
4699,https://cinematreasures.org/theaters/4699,8th Street Playhouse,Manhattan,52 W. 8th Street,New York,NY,10011,"52 W. 8th Street, New York, NY 10011",40.733238,-73.998866,Closed,,Closed,closed,1,490,,1992,detail_city,no_year_opened,
